,Tank:,Name:,Score:,Proof:,Gamemode,Special? (TBR)
,TBR,,,,,
,placeholder for scores to be in right place when approved,,,,,
,Auto Overseer,Î¹Î±,16014752,https://cdn.discordapp.com/attachments/1101493904542535791/1101982346535776326/d.png,2TDM,TBR
,Manager,Mr.Hacker YT,13779227,https://cdn.discordapp.com/attachments/928174021592383489/1142312196664201297/screenshot_-_2023-08-18T212029.154.png,2TDM,TBR
,Overlord,Harry,13005049,https://imgur.com/a/8c1B2EI,2TDM,TBR
,Hexa Tank,Mr.Hacker YT,12033305,https://cdn.discordapp.com/attachments/1146049737494114356/1147847776961577000/screenshot_-_2023-09-03T035609.930.png,4TDM,TBR
,Spreadshot,Slade,11042230,https://cdn.discordapp.com/attachments/928174021592383489/1147385394606915664/screenshot_-_2023-09-02T001036.540.png,2TDM,TBR
,Manager,zo,10693117,https://imgur.com/a/mwyiF17,2TDM,TBR
,Overdrive,Ã–.,10542978,https://cdn.discordapp.com/attachments/395646588682240020/1083340118187843614/screenshot_-_2023-03-08T183620.241.png,2TDM,TBR
,Penta Shot,Chris3773,10216461,https://cdn.discordapp.com/attachments/928174021592383489/1137346623836540999/screenshot_-_2023-08-04T180103.942.png,2TDM,TBR
,Auto Spawner,Slade,10147081,https://cdn.discordapp.com/attachments/928174021592383489/1141208541294768208/screenshot_-_2023-08-15T231358.256.png,Maze 2TDM,TBR
,Carrier,Jess,10038528,https://cdn.discordapp.com/attachments/928174021592383489/1127078236749312040/screenshot54.png,4TDM,TBR
,Underseer,Corrupt Y,10015851,https://cdn.discordapp.com/attachments/928174021592383489/1147683639736418334/image.png,2TDM,TBR
,Overseer,Harry,10010810,https://cdn.discordapp.com/attachments/867893054689247252/1118450232380899358/screenshot_-_2023-05-28T214114.png,2TDM,TBR
,Machine Gunner,Mr.Hacker YT,10008164,https://cdn.discordapp.com/attachments/928174021592383489/1144031021646483527/screenshot_-_2023-08-23T150754.258.png,4TDM,TBR
,Auto Overseer,Mr.Hacker YT,10006325,https://cdn.discordapp.com/attachments/1146049737494114356/1147760083908964372/screenshot_-_2023-09-02T220812.419.png,2TDM,TBR
,Beekeeper,Slade,10004882,https://cdn.discordapp.com/attachments/928174021592383489/1138137339810562118/WeQ1hzP.png,4TDM,TBR
,Commander,ðŸŒ·|retnuH,11508414,https://imgur.com/a/JEjlMeV,4TDM,TBR
,Predator,Mr.Hacker YT,10000379,https://cdn.discordapp.com/attachments/928174021592383489/1147380776699187220/screenshot_-_2023-09-01T210030.895.png,2TDM,TBR
,Stalker,Ã–.,9595755,https://cdn.discordapp.com/attachments/395646588682240020/1083082112195907615/screenshot_-_2023-03-08T184043.916.png,2TDM,TBR
,Hexa Tank,Marcus,8890000,https://cdn.discordapp.com/attachments/559793341143711767/1144659755747512380/image.png,2TDM,TBR
,Bushwhacker,Slade,8120500,https://cdn.discordapp.com/attachments/950121196870062131/1147753275463053402/screenshot_-_2023-09-02T204656.277.png,2TDM,TBR
,Musket,Ã–.,8108770,https://imgur.com/a/KQMk8mU,2TDM,TBR
,Gunner Trapper,Slade,8010030,https://cdn.discordapp.com/attachments/928174021592383489/1141016525936009298/screenshot_-_2023-08-14T225010.png,4TDM,TBR
,Necromancer,Marcus,8006279,https://media.discordapp.net/attachments/1095472648886165704/1142860464716521574/screenshot_-_2023-08-20T183918.172.png,2TDM,TBR
,Manager,Mr.Hacker YT,7264097,https://media.discordapp.net/attachments/1064026177108443180/1143615199006441582/screenshot_-_2023-08-19T221115.565.png?width=1193&height=671,Maze 4TDM,TBR
,Factory,safuez,7130528,https://cdn.discordapp.com/attachments/941221820810543155/941338879687000064/8tzTqyr_d.png,Maze 4TDM,TBR
,X-Hunter,Rog456,7109184,https://cdn.discordapp.com/attachments/928174021592383489/1144851786033795142/4255A84D-E373-4283-83D2-6191C63A60BA.png,4TDM,TBR
,Overgunner,Chris3773,7091375,https://cdn.discordapp.com/attachments/1139282331602002081/1139328885402632283/screenshot_-_2023-08-10T184545.240.png,2TDM,TBR
,Hexa Tank,Marcus,7048534,https://cdn.discordapp.com/attachments/1136619020100059146/1144330560605524008/screenshot_-_2023-08-24T200100.332.png,Maze 2TDM,TBR
,Crossbow,Zeph,7030245,https://cdn.discordapp.com/attachments/928174021592383489/1141453730580013186/IMG_7092.jpeg,2TDM,TBR
,Overlord,Mr.Hacker YT,7001316,https://cdn.discordapp.com/attachments/1146049737494114356/1147516800460931072/screenshot_-_2023-09-02T060105.022.png,2TDM,TBR
,Auto Spawner,Mr.Hacker YT,6256086,https://cdn.discordapp.com/attachments/928174021592383489/1144853911333777418/screenshot_-_2023-08-25T214034.496.png,4TDM,TBR
,Cruiser,ExC,6022893,https://cdn.discordapp.com/attachments/1060695995270303945/1139302187177082962/Screenshot_2110.png,2TDM,TBR
,Auto-5,Mr.Hacker YT,6005406,https://cdn.discordapp.com/attachments/928174021592383489/1130318226904076348/screenshot_-_2023-07-16T042016.368.png,2TDM,TBR
,Architect,byekc,6005158,https://cdn.discordapp.com/attachments/1130276698353582100/1130279200838909992/image.png,2TDM,TBR
,Auto Assassin,Ussnub,6000836,https://cdn.discordapp.com/attachments/1125564247275999282/1125939682983813151/6_mil.png,2TDM,TBR
,Predator,Lamp,5572181,https://cdn.discordapp.com/attachments/928174021592383489/1138323721355014164/5.57mPredDisc.png,2TDM,TBR
,Sniper,Slade,5503014,https://cdn.discordapp.com/attachments/928174021592383489/1138322206598909982/screenshot_-_2023-08-08T000440.226.png,2TDM,TBR
,Necromancer,ðŸŒ·|retnuH,5044589,https://cdn.discordapp.com/attachments/1066451260611506236/1144632733168050318/screenshot_-_2023-08-25T165946.333.png,4TDM,TBR
,Auto Assassin,ExC,5028633,https://cdn.discordapp.com/attachments/928174021592383489/1145829608764223538/image.png,4TDM,TBR
,Overlord,lifey,5026647,https://cdn.discordapp.com/attachments/1062424265451896885/1129458212630966282/image.png,MULTIPLE,TBR
,Auto Assassin,DevinSucksAtLife,5012868,https://cdn.discordapp.com/attachments/433431402613309440/1102404961683394570/image.png,2TDM,TBR
,Eagle,Slade,5010446,https://cdn.discordapp.com/attachments/1044131085463851028/1048448325659148308/Ytu8m6F.png,4TDM,TBR
,Big Cheese,Marcus,5008962,https://cdn.discordapp.com/attachments/1095472648886165704/1142083649886494801/screenshot_-_2023-08-18T151225.477.png,Maze 2TDM,TBR
,Banshee,Mr.Hacker YT,5006725,https://cdn.discordapp.com/attachments/1146049737494114356/1147120038575341650/screenshot_-_2023-09-01T033850.724.png,2TDM,TBR
,Necromancer,Darky,5003057,https://cdn.discordapp.com/attachments/1116894106438881380/1134877161858285568/screenshot_23.png,2TDM,TBR
,Penta Shot,Marcus,5002008,https://cdn.discordapp.com/attachments/1146204878331461642/1147125542169092167/screenshot_-_2023-09-01T130523.564.png,2TDM,TBR
,Gunner Trapper,ðŸŒ·|retnuH,5001535,https://cdn.discordapp.com/attachments/866023322529955870/1130107914862993448/screenshot_-_2023-07-16T150012.395.png,2TDM,TBR
,Auto Builder,Marcus,5000100,https://cdn.discordapp.com/attachments/1095472648886165704/1146121263857795103/screenshot_-_2023-08-29T183408.613.png,2TDM,TBR
,Carrier,Hertz,5000098,https://cdn.discordapp.com/attachments/559793341143711767/1125608567681056779/screenshot_-_2023-07-04T030243.480.png,2TDM,TBR
,Machine Gunner,bum,4743388,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/d8On9Nu,4TDM,TBR
,Carrier,Slade,4158335,https://imgur.com/gallery/KbDu50t,2TDM,TBR
,Spreadshot,Mr.Hacker YT,4055861,https://cdn.discordapp.com/attachments/1064026177108443180/1134452600989818890/screenshot_-_2023-07-27T214509.137.png,4TDM,TBR
,Infestor,Mr.Hacker YT,4023991,https://media.discordapp.net/attachments/1064026177108443180/1137836284551901204/screenshot_-_2023-08-06T125134.542.png?width=810&height=456,4TDM,TBR
,Dual,Corrupt Y,4010489,https://cdn.discordapp.com/attachments/928174021592383489/1145830242095747092/image.png,4TDM,TBR
,Trap Guard,ðŸŒ·|retnuH,4006112,https://cdn.discordapp.com/attachments/1062306642898735186/1138821486153572445/screenshot_-_2023-06-06T200003.142.png,4TDM,TBR
,Builder,Hertz,4001516,https://imgur.com/a/RDZaMVi,2TDM,TBR
,Crossbow,Marcus,3761880,https://cdn.discordapp.com/attachments/1113513104467304488/1133460005262200954/screenshot_-_2023-07-25T195042.424.png,4TDM,TBR
,Trap Guard,Chris3773,3381074,https://cdn.discordapp.com/attachments/866023322529955870/1138910518669758584/screenshot_-_2023-08-09T150001.272.png,2TDM,TBR
,Stalker,Hertz,3248446,https://imgur.com/a/pYmX3hN,2TDM,TBR
,Cyclone,Slade,3207125,https://cdn.discordapp.com/attachments/928174021592383489/1145067814412107979/LErIM17.png,4TDM,TBR
,Engineer,Chris3773,3172053,https://cdn.discordapp.com/attachments/1139282331602002081/1139351158452924436/screenshot_-_2023-07-20T185635.png,4TDM,TBR
,Machine Gunner,Nyrox,2830265,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/boFjYiE,Duos,TBR
,Vulture,Chris3773,2062496,https://cdn.discordapp.com/attachments/1139282331602002081/1139348880174092418/screenshot_-_2023-07-01T162549.png,2TDM,TBR
,Field Gun,Hertz,1507766,https://cdn.discordapp.com/attachments/1145152054260662414/1145663054391017602/screenshot_-_2023-08-28T105234.131.png,Maze,TBR
,Assembler,chewy pies,1447904,https://i.imgur.com/ThvSoUsh.jpg,2TDM,TBR
,Annihilator,Marcus,6666666,https://cdn.discordapp.com/attachments/1095472648886165704/1148254638383054909/screenshot_-_2023-09-04T155327.278.png,4TDM,TBR
,Bushwhacker,ExC,4524903,https://cdn.discordapp.com/attachments/1060695995270303945/1148065813006397531/Screenshot_2205.png,2TDM,TBR
,Hexa Trapper,ExC,4522016,https://cdn.discordapp.com/attachments/1060695995270303945/1148094228178677821/Screenshot_2213.png,Maze 2TDM,TBR
,Predator,ExC,10000104,https://cdn.discordapp.com/attachments/928174021592383489/1148470403216462004/image.png,2TDM,TBR
,Hunter,Templar,7775630,https://cdn.discordapp.com/attachments/1136619020100059146/1149384164508962947/screenshot_22.png,4TDM,TBR
,Conqueror,Chris3773,3000156,https://imgur.com/gallery/UcG4uGK,2TDM,TBR
,Cyclone,Chris3773,3500850,https://imgur.com/gallery/a2pXCFC,2TDM,TBR
,Beekeeper,Chris3773,3536563,https://imgur.com/gallery/cMrDgQ2,2TDM,TBR
,Mega-3,Chris3773,2041788,https://imgur.com/gallery/aQSdrQ8,Maze 2TDM,TBR
,Auto Overseer,Chris3773,7105063,https://imgur.com/gallery/sDl4fwW,2TDM,TBR
,Shotgun,ExC,8523960,https://media.discordapp.net/attachments/1146076487875821578/1149111728546779206/image.png,2TDM,TBR
,Overlord,Marcus,14076885,https://cdn.discordapp.com/attachments/1146204878331461642/1150402565029232702/screenshot_-_2023-09-10T140844.463.png,4TDM,TBR
,Commander,Chris3773,11600008,https://imgur.com/gallery/juN6tqq,2TDM,TBR
,Banshee,cyan,10019396,https://cdn.discordapp.com/attachments/866023322529955870/1153712845284974592/screenshot_-_2023-09-19T215349.963.png,2TDM,TBR
,Manager,zo,15117515,https://cdn.discordapp.com/attachments/866023322529955870/1153544609939603466/screenshot_-_2023-09-18T221037.067.png,2TDM,TBR
,Hybrid,ðŸŒ·|retnuH,6002144,https://cdn.discordapp.com/attachments/866023322529955870/1152574675797430382/screenshot_-_2023-09-16T145734.016.png,2TDM,TBR
,Overlord,Chris3773,6008059,https://cdn.discordapp.com/attachments/866023322529955870/1152059272964878486/screenshot_-_2023-09-14T205033.027.png,2TDM,TBR
,Destroyer,Smiley,6903582,https://imgur.com/a/bUsh3es,2TDM,TBR
,Auto Tri-Angle,noscore,5030228,https://cdn.discordapp.com/attachments/1146072196117180527/1155100260511789117/screenshot_56.png?ex=652a7872&is=65180372&hm=7f3e8a13a428abdb54e6bd0ffce95e093b959401614242713950564dafe2437a&,2TDM,TBR
,Overdrive,noscore,6025957,https://cdn.discordapp.com/attachments/1146072196117180527/1150924375365795860/screenshot_42.png?ex=652dbc5a&is=651b475a&hm=ab2ab94d15a088e07e2f6aefc282444dd7960f96563ae8317be5736df438282f&,2TDM,TBR