Name on this sheet,Discord ID,Name on WR sheet,,,,,,,,,,,,,,,,,,
Jess,Dont mind me#4233,hi,,,,,runs that i need verifying,,,,,,,,,,,,,
Armin,Armin#2951,Armin Play YT,,,,,final score?,https://cdn.discordapp.com/attachments/433431402613309440/1113476300766707792/image.png,,,,,,,,,,,,
Lamp,Lamp#0448,[LK],,,,,"death ss needed, for now the seperated scores will do fine",10.53m,baking soda,SQUADS,https://imgur.com/gallery/hunLjTC,Streamliner,,,,,,,,
Skrialik,evil#1436,evil isopod,,,,,any existing proof?,5.02m,TJL,2TDM,https://cdn.discordapp.com/attachments/792561377754480690/792566188688932864/5.01m_Spike.png,Spike,,,,,,,,
Slade,N/A,baking soda,,,,,final score?,5.05m,baking soda,2TDM,https://i.imgur.com/DGJRaZu.png,auto gunner,,,,,,,,
Crown the Ö.,Ö.#4129,Crown the Ö.,,,,,better ss?,https://cdn.discordapp.com/attachments/941221820810543155/941338879687000064/8tzTqyr_d.png,,,,,,,,,,,,
Hope,Hope#6220,lotion,,,,,should count on sheet?,https://imgur.com/a/AG2eOtt,,,,,,,,,,,,
Salla,Salla#2099,Xɇna'Queen♕,suspected alt,,,,is this a completely different slade score?,https://cdn.discordapp.com/attachments/1113618535449624647/1116130529440444497/image.png,,,,,,,,,,,,
Curt,,Curt,suspected alt,,,,final score proof needed,9.93m,Ussnub,,2TDM,,,,,Overgunner,Slade,7284898,https://cdn.discordapp.com/attachments/559793341143711767/1114544428149911652/image.png,Squads/Duos
Xentria,,,,,,,,,,,,,,,,,,,,
breaking good,,,,,,,uh,https://cdn.discordapp.com/attachments/866023322529955870/1049082865184428114/screenshot_-_2022-12-04T135347.png,,,,,,,,,,,,
,bean_™#1337,,,,,,,,,,,,,,,,,,,
a,MYLIFEISALIE#6420,uhhh ._.,,,,,,,,,,,,,,,,,,
Allan,known as dylan,,,,,,,,,,,,,,,,,,,
allor,cat?!,Roman,,,,,,,,,,,,,,,,,,